,Id (Review),Review,Sentiment
22,309310,yayayayayay! it works again!,Positive
23,309309,Thank you Ikea! Very much appreciated. When is the Montreal Ikea going to be equipped like this?,Positive
24,309308,spot inaccessible the last two days by Subaru,Negative
25,309306,Was here this morning. Two chargers for four EV-dedicated spots. Still not in service yet.  -- checkin created before location officially marked open,Negative
26,309304,Free charging. Had to wait 5 minutes for Charge Point operator. No complaints. Two level 2 charging stations accessible from 4 to 6 parking slots. Fairly empty parking lot on a nice Sunday afternoon.,Positive
27,309303,White Volt: I plugged you in after I left tonight.,Positive
28,309302,Plugged in a Leaf. ,Positive
29,309299,Could have would have used this today on out Ev road trip but still not available. Bummer. Thanks wa state for the juice ups.  -- checkin created before location officially marked open,Negative
30,309297,Tesla HPWC station was offline again last night.  Charged on SunCountryHighway J1772 which has worked all three nights. Tesla charger only worked one night and next day the breaker reset inside the building.  BW KW said they will have the Tesla charge station checked.,Negative
31,309295,"Thanks to the nice lady in the blue leaf that moved early to let us charge up to make it home from our Ev road trip to the zoo. Thanks Sehome village, nice stop and good location.  You  might need another L3 here or at least some more L2s!!",Positive
32,309292,Blissfully quick charge and the place was empty- didn't have to wait. Thanks for enabling our Ev road trip Burlington. We will be back. ,Positive
33,309291,"Both touch screens fail to respond. What kind of companies are these, Rio Salado College and Blink, to leave their public 220V appliances powered up, advertised, and out of order for months on end?",Negative
34,309290,Successfully charged on the lower level. Upper level was taken. Wonder if an EV Charge+handicap spot will ever be used? Had trouble finding the lower charge. Description said ground level so we drove to the bottom (p5). Alternate Evse is on P2 near the kiosk/exit. ,Positive
35,309289,Friendly owner helped me out with an adapter.,Positive
36,309288,was iced but I asked the salesperson about if it was OK and they offered to move a car blocking access. thanks!,Positive
37,309287,"First time using the NEMA 5-20 adapter, it's working great! 114V 16A 5mph overnight.",Positive
38,309286,Well placed. Right on the corner next to Esso and across from the McDonalds. ,Positive
39,309284,"Blue gray fiat, hopefully you were charged. When I got there the plug was already returned to the cradle.",Positive
40,309281,CHAdeMO was down,Negative
41,309279,Still not functional 9/13,Negative
42,309278,"Four spaces for EVs. Free parking and charging with Charge Point card. There is a campus cafeteria and cyber cafe that are open until 6 pm, otherwise there is nothing else within walking distance.",Positive
43,309275,Back up and running.,Positive
44,309274,error message,Negative
45,309273,"Nissan Leaf      Of all the stops I've made today, this is the first that has local information available about the area. A nice gesture.",Positive
46,309272,All taken ,Negative
47,309270,"There isn't much here other than the Kohls and it would be along walk to anything else. However, the parking and charging are free.",Positive
48,309266,All taken,Negative
49,309265,shopping at Vons while my car is charging ,Positive
50,309264,Thanks for cutting me off and stealing my spot jerk,Negative
51,309260,Chademo still does not work. J1772 available.,Negative
52,309253,"Nice spot, well lit on the backside of the dealership. Is not restricted to 80%. ",Positive
53,309251,Finished charging! Thank you JT Schmids & Artic! :) ,Positive
54,309250,"Great hotel, friendly staff, free milk and cookies at night. What else can you ask for. ",Positive
55,309249," CHADEMO available 24/7. Next door to a gas station / convenience store if hungry, thirsty, or need a restroom. Drove our Leaf here from Baltimore. Looks like a Greenlots unit but currently free. ",Positive
56,309244,Charger won't click in on Ford C-Max energi. Will not start charging. Something wrong. ,Negative
57,309243,2 spots were occupied by non-ev vehicles ,Negative
58,309241,Working great!,Positive
59,309239,So the dealer had all of their cars being serviced parked in every spot including the quick charger. I called and asked them for at least access to the quick charger and they agreed but never did anything so I left and drove to Larry h nissan. I was willing to pay because I was in a hurry and obviously the Toyota dealer doesn't want my business.,Negative
60,309238,Mall needs real level two or QC as in Cali. ,Negative
61,309237,Trouble light lit,Negative
62,309236,Needs level two. ,Negative
63,309233,Good only for extended stay. ,Positive
64,309232,"Solar charging, awesome! ",Positive
65,309231,Wall outlets good for overnight charging only,Negative
66,309230,Good for overnight or extended charging only at 3-5 mph ,Positive
67,309229,"Amazing, is it free? ",Positive
68,309228,DC charger is working ,Positive
69,309227,All new stations should be free for a while. ,Negative
70,309225,Solar carport didn't have level two? ,Negative
71,309224,"This is wrong, they need to buy their own chargers. Can call Ford HQ. ",Negative
72,309222,Charged my Tesla S at a full 40 amps at 240 volts.  Sam was super friendly and helpful.  Parked next to a small wooded area with a solar-powered well-fed fishing pond -- in the middle of the desert!!  This delightful Plugshare makes driving from the Santa Rosa Supercharger on I-40 down Rt 54 to El Paso or Las Cruces possible in a Tesla.,Positive
73,309219,Thanks JT Schmids & Artic! :) ,Positive
74,309218,can use app or call for free charge if screens are ever found broken. ,Positive
75,309217,Finished fast charging moved to a slower charger so that someone else could charge. Going to get some food while it finishes charging. :) ,Positive
76,309216,Can use app or call for free charge if screen broken. ,Positive
77,309215,"BOTH GOe3 mains are down.  Expected DC FC Level 3 to be non-functional, but not Level 2, which was working just fine 3 weeks ago.  Fortunately, one of tht 2 Blink Level 2s at City Gate - Casa Grande - a shopping mall slowly, coming back to live (Exit 198). See <www.PlugShare.com>.",Negative
78,309214,"When iced, contact: MayorandCityCouncil@beverlyhills.org          to request police properly ticket them. ",Positive
79,309212,172mph at peak. Half of spots used on Sunday afternoon. ,Positive
80,309209,172 mph at peak.  About half of slots full Sunday afternoon. ,Positive
81,309208,Smaller Blink L2 works; larger pedestal one seemingly has remained non-functional for years.  Still nice to have as backup to GOe3 Level 2 (not working this Sunday) and... til DC FC is working at Chevron station 1/2 mile off Hwy 87 West. Especially when 102 degrees in the shade at City Gate - Casa Grande with restroom and other facilities open.,Positive
82,309207,BMW i3,Positive
83,309206,"Can ask them to use comes to keep charger open, ask for Austin. Has RFID key.",Positive
84,309205,Be sure to call Tesla with any issues. ,Positive
85,309200,Smart move from Tim Hortons. You have my business.     Thanks.,Positive
86,309199,EVgo will give you complimentary charges if you call in. ,Positive
87,309198,"Level three in the US is a DC QC, SAE or ChaDeMo. ",Positive
88,309196,working fine,Positive
89,309195,Level two or QC would be a lot more useful. ,Negative
90,309194,"Disregard last post...my bad, called the fireplace hotel in Carmel....I got confirmation they DO have one. Keep you posted. Be there Tuesday ;)",Positive
91,309193,Arrived with 90 miles left in the battery. Plugged in to station 4B and seeing 326 mi/hr charging rate. ,Positive
92,309190,"There are no Level 3 chargers in the United States. Level 3 chargers are only in Europe. The normal 240V EV chargers are based on the SAE J1772 AC Level 2 standard. There is a SAE J1772 AC Level 3 standard but it's a 240V, 3 phase standard that has not been adopted by any auto manufacturer in the United States. The CCS chargers common at many charging stations are based on the SAE J1772 DC Level 2 standard. CHAdeMO chargers are not based on the SAE J1772 standard and therefore the level designations do not apply.",Negative
93,309188,Still broken!  NRG is the worst,Negative
94,309187,all spots taken and 2 cars werent even plugged in,Negative
95,309184,First user!!!,Positive
96,309183,still 6.6kW shared ,Positive
97,309181,"ten chargers, did not expect that! awesome",Positive
98,309179,North side stand not working. Both level 2 and level 1 outlet inoperable. Has been for a few months now. ,Negative
99,309178,Blue lead plugged in just before us!  :-( heading home from Seattle. ,Negative
100,309172,Waiting on left open car slot to become available.  Please plug me in when done.  Thanks!,Positive
101,309170,Pit stop before heading home. Thanks Price Chopper and KCP&L! ,Positive
102,309159,Great just wish I had remembered an umbrella. ,Positive
103,309157,"Both cars left, lucky me. Using one spot for a bit while I get my watch fixed.",Positive
104,309156,"No longer there! No machine, no charge. The app should have reliable info!",Negative
105,309149,Charges fine but seems to be off the network.  You can't tell from the ap if it's in use. ,Negative
106,309141,Took 10 minutes to ramp up to 210 mi/hr rate.,Positive
107,309138, Even if two cars are charging at the same time - as long as the third space is open one of the Chargers will reach over to the third space! _x1f609_,Positive
108,309136,All spaces taken,Negative
109,309134,"The Charlotte airport is at my maximum round trip range. So I normal drive my Prius vs the Leaf, when I learned charging stations, had been installed I though great! Until I checked it out, the charging stations are located in the new hourly parking. Hourly is the most expensive lot at CLT combined with the $5 flat fee it make no sense for me. Even if I parked with an empty battery it would still only take 20 Kwh give or take a few, CLT is asking for more than double the price I pay at home. Then ask $20 a day to park, no thanks. Anyway while picking someone up, I took a few photos and added.",Negative
110,309131,CHAdeMO worked great all day. Almost non-stop service from 11 am to 4 pm.,Positive
111,309128,Nice selection of shops and services.,Positive
112,309127,"3 cars charging, one spot ICEd. Beverly Hills Parking Enforcement say they won't ticket or tow ICE cars illegally parked. Only option is to leave a note. ",Negative
113,309125,"There are no Level 3 chargers in the United States. Level 3 chargers are only in Europe. The normal 240V EV chargers are based on the SAE J1772 AC Level 2 standard. There is a SAE J1772 AC Level 3 standard but it's a 240V, 3 phase standard that has not been adopted by any auto manufacturer in the United States. The CCS chargers common at many charging stations are based on the SAE J1772 DC Level 2 standard. CHAdeMO chargers are not based on the SAE J1772 standard and therefore the level designations do not apply.",Negative
114,309124,Next row over from the check in drive thru. ,Positive
115,309122,DCFC broken. Level 2 ICEd. ,Negative
116,309121,Tesla and RAV4 using both spots.,Negative
117,309118,charger closest to store is broken ,Negative
118,309117,"There are no Level 3 chargers in the United States. Level 3 chargers are only in Europe. The normal 240V EV charger is based on the SAE J1772 standard. There is a SAE J1772 AC Level 3 standard but it's a 240V, 3 phase standard that has not been adopted by any auto manufacturer in the United States. The CCS chargers common at many charging stations are based on the SAE J1772 DC Level 2 standard. CHAdeMO chargers are not based on the SAE J1772 standard and therefore the level designations do not apply.",Negative
119,309116,2A. 340 mi/hr,Positive
120,309114,"Awesome to know they are trying to help EV clients. My in-law used this facility often years ago, ",Positive
121,309110,Charging at only 86mi/hr with 78 mi range!,Positive
122,309109,3 spots open @3:20pm,Positive
123,309105,Toyota RAV4 EV with JdeMO.,Positive
124,309101,Located in the far southwest corner near Starbucks inside the Kroger grocery store.,Positive
125,309100,One of two chargers working at 6kw,Negative
126,309090,Arrived with a half full battery and ponied up to station 3A. Seeing a charging rate of over 245 mi/hr. ,Positive
127,309087,"For whatever reason, the dealer is making it hard for ppl to charge here. For future buyer, I recommend you buy a Kia. The staffs at Kia dealer down the street are very nice. Also, there is no limit to charge. ",Negative
128,309086,Good DC fast charge. ,Positive
129,309084,Full of other Tesla today! ,Positive
130,309083,No bathrooms on weekends. Kings garden wouldn't let us use the restroom walk up to Hilton skip the chinese restaurant,Negative
131,309081,"charge parking is a bit cramped because of the reach of the chademo,but still usable.",Negative
132,309080,364 mph!,Positive
133,309077,"Disregard previous comment, did not work.",Negative
134,309076,3 of 4 units have issues.  Either completely broken or card reader and LCD touchscreen doe not work.,Negative
135,309075,"station shows a GFCI fault and a red light, but it is charging.",Positive
136,309073,"Station shows GFCI fault and a red light, however it is providing power.",Positive
137,309072,Could not find charger. ,Negative
138,309070,Will be here for ~40 mins,Positive
139,309069,Charger down.  Called company they could not start it. ,Negative
140,309066,"Tesla HPWC not powered, but SCH J1772 station working.",Negative
141,309063,"refused me. ""we're not set up for that.""",Negative
142,309062,450 km/h alone.,Positive
143,309061,"station says ""loading..."" on the screen. not operable.",Negative
144,309058,"someone decided to park their Civic in the ChaDeMo parking spot,  could not charge",Negative
145,309055,Over temperature error on the fast charger. Inoperable. ,Negative
146,309052,CCS functioning nominal to profile _x1f60e_,Positive
147,309051,Here for 1 hr 30 mins.,Positive
148,309048,"Level 3 not working, charging now in level 2",Negative
149,309046,"Only 1 unit had power. It had some sort of fault occurred message, call Blink. I reset the unit (breaker box on back of unit) but it did not help. The other two units didn't even have switches in their breaker box. ",Negative
150,309045,Emergency button was pressed by someone? Contact administrator. ,Negative
151,309044,Something wrong with the quick charger. ,Negative
152,309039,lvl 3 ftw,Positive
153,309035,Quick charger works. Handle is broken so won't give you estimate when it is finished. Need to watch yourself.,Positive
154,309033,"Nissan dealers really do suck, not just this one. They were handed an opportunity to be on the ground floor years before just about anyone else and they wasted it.   ",Negative
155,309031,"Called yesterday 9/12/15 spoke with reception, she says that it should be repaired in 2 weeks. After reading all the posts and the dates of level 3 being down, im not sure if I was just given the run around or it IS going to be fixed? ",Negative
156,309028,can't find it ,Negative
157,309024,"the dcqc is just fine but the rfid reader on the level 2 station is damaged, like someone ripped it off.",Negative
158,309020,let's lobby them for level two or a quickcharger. ,Negative
159,309019,Charger will not charge. It shows a temperature error on the screen.,Negative
160,309018,Good DC fast charge. You must have the green lots app or call them. With the app it was pretty easy to start. The credit card reader is non functional. The level 2 works for free right now. ,Positive
161,309017,Chargers are non functional right now. No known eta when I asked management.,Negative
162,309006,Working great so far,Positive
163,309003,Station is still here and working. It's become by go to station when traveling from Ithaca to Albany. The building is locked this time so no bathroom or shower haha. They have a huge new solar array. Pretty cool. ,Positive
164,309001,"SHIFT EV customized  porsche 911 - 996, opportunity charge over lunch.  ",Positive
165,309000,"3b only 150mph, switched to 4a for 351mph",Positive
166,308998,CCS connector working great. ,Positive
167,308997,"Appears to be free, thank you!  -- checkin created before location officially marked open",Positive
168,308995,4/5 spots ICE'd.  Open spot had a non-working L2 charger.  Spoke to the dealership and asked them to fix the problems and be serious and competitive with their public station.,Negative
169,308993,Is this free?,Positive
170,308990,DC not powered on & L2 had a lock on it. ,Negative
171,308988,Just a quick 10 minute charge. No one else is waiting. ,Positive
172,308987,"Cool, seems free for now",Positive
173,308986,2B. 350 mi/hr,Positive
174,308985,"Cool, are these used often? ",Positive
175,308983,Powerhouse / US 66 museum which has small EV collection is .5 mile walk.  Not much else around except Carl's Jr and Chevron station next door for food/bathrooms.  ,Negative
176,308975,Two stations!  And both free while shopping.,Positive
177,308973,Arrived with 120 miles left in the battery. Hooked up to 2B and seeing a charging rate of 270 mi/hr and climbing. ,Positive
178,308972,I used the clipper charger on my leaf.  It worked great.  The hotel staff was friendly but did not know anything about the stations.  They are located by the back door to the hotel and 4 cars where parked in front of them.  The cable just barely reached the fifth spot.,Positive
179,308971,I will pick up 12:40 ,Positive
180,308969,this would be good for a couple miles an hour at best. let's all for real chargers. ,Negative
181,308968,The cables are long enough to make the stations accessible even when ICE'd.,Positive
182,308967,Extremely friendly staff.  Had to move some cars that were parked in front of the stations but we glad to do so.,Positive
183,308965,Only one of two ports works. There's also some additional stations across the street at Sanofi.,Negative
184,308964,One of the two dual standard units is not working. The other one is working.,Negative
185,308958,not reading cards. called evgo,Negative
186,308955,I am at Nordstrom cafe,Positive
187,308953,$10 to charge,Negative
188,308951,Parking lot is blocked with chain link fence.,Negative
189,308950,Super low amps for some reason. Taking 6 hours to fill up 6 kw,Negative
190,308947,"Still the best EVSE in the city, though the host has taken to parking vehicles on its boulevard. (excess truck stock?) ",Positive
191,308942,All chargers broken. You can plug in level 1 here and elsewhere at Westlake.  Kimco is completely inept at maintenance. The parking structure elevator is constantly broken as well. ,Negative
192,308941,Mall chargers are free right now. ,Positive
193,308940,Out of order,Negative
194,308936,"Woohoo, the Golden Spike is in place!",Positive
195,308935,Place is too damn busy with TIFF going on!!,Negative
196,308934,Still offline due to building renovation as of 9/12/2015. Doesn't look like any work has been done in the last month and a half. ,Negative
197,308933,"Left one not working as we all knew, rift one fade out after your selection and in order to detach your car, you have to flip the breaker, the breaker looks like being locked, but you can flip it actually. Good luck. This is so awful.",Negative
198,308931,Taking in TIFF while charging.,Positive
199,308923,500e .... charging is now working properly,Positive
200,308922,Great spot for an EVSE. Building houses bookstore called An Unlikely Story; cafe inside. ,Positive
201,308921,EV owner abuse parking spot again,Negative
202,308918,Good espresso. ,Positive
203,308917,Fault code when trying to charge. Tried several times. Same problem with Semaconnect chargers. ,Negative
204,308912,Charged here and happy. Especially after the QC at Commonwealth Nissan failed while I there. ,Positive
205,308911,Toyota RAV4 EV with JdeMO. Charging at 115 amps 370 volts with Nissan charger. ,Positive
206,308909,"No card needed, just plug in.  ",Positive
207,308901,Cables are really short so you will need to back in if your port is in the rear of your car. ,Negative
208,308898,CCS confirmed operational with our i3,Positive
209,308896,Perfect,Positive
210,308892,"All open,  none iced.   Cone on the quick charger. ",Positive
211,308891,"Tested both sides, and they released. Bring a rag to wipe off cob webs.",Positive
212,308889,Right side (station #1) still not working,Negative
213,308888,Non plug Prius has ICE'd one of the spots,Negative
214,308887,ICED,Negative
215,308883,Nissan leaf charging. Need a few hours charge to get home but will move if you are desperate. ,Positive
216,308882,"I see there up with the maintenance, not. Not like don't charge enough for the power and would cover the preventive maintenance ",Negative
217,308881,"CHADeMo still giving the error ""please verify"" and will not charge. Successfully charged at level II, however. ",Positive
218,308876,thanks very nice place.,Positive
219,308875,Garage closed,Negative
220,308874,"Needed a better photo, Successfully Charged this early AM - Thanks eVgo and NRG",Positive
221,308873,Added a photo - had a Successful Quick Charge... Thanks eVgo and NRG,Positive
222,308871,Very low powered. Fine for small cars.,Negative
223,308868,There are chargepoint stations now,Positive
224,308867,"Be sure to park in the spot not labeled ""State Parking""! You can park in state parking but there is a chance you can get a ticket, so play it safe and park in the unmarked spot or the Electric Vehicle spot!",Positive
225,308863,can't read screen in direct sun light. Not in charge point network. Not sure I am charging,Negative
226,308861,Test drive & public EVSE after new motor install on Porsche 911?  2 EVSEspaces,Positive
227,308860,Filter is plugged up and unit threw a temp alarm after I was plugged in for 2 minutes.,Negative
228,308854,had to press the reset button as there was no power going to the outlet at first,Negative
229,308852,Charger requires you to download free greenlots app to open charger but did not connect correctly and couldn't charge. Very frustrating and tedious process,Negative
230,308848,Leaf license plate goc4087 charging on L3.  Would appreciate if they checked in.  ,Negative
231,308846,Had isolation fault at first when attempting CCS charging. Reset using red knob and then it charged successfully. ,Positive
232,308844,both no working,Negative
233,308842,"Came in at 7:30 and gate was open, EV fully charged. looked but did not see Handicapped or EV sign, only ""handicapped only"" parking sign",Negative
234,308839,Kennesaw State has porta potties in front of the Chargers. Wow that's a slap in the face for EV charging. ,Negative
235,308836,Only one here. All other chargers are free,Positive
236,308834,I only got 75 amps. These units appear to be derated.,Negative
237,308833,Who are the silly humans who park there and either don't charge or park there and don't have an EV? I know I'm complaining but there are always people parked there improperly using the station.,Negative
238,308819,Right side works great!,Positive
239,308813,"Kahill's restaurant is open Sunday despite what Google says. Great food, great service. Manager/owner friendly.",Positive
240,308811,Arrived with 92 miles left in the battery. Plugged in to charger 2A and seeing the charging rate climbing past 290 mi/hr. The direction near the beginning of the comments is correct on how to find the Superchargers once inside. Make an IMMEDIATE right after the ticket machine and proceed straight the the red painted zone. ,Positive
241,308810,2A. 362 mi/hr ,Positive
242,308806,"One ABB charger broken, I'm on the other.",Negative
243,308800,The sales associate was very nice when I asked if it was okay to charge my EV.  He even suggested a good place for breakfast.,Positive
244,308792,On the left side when you enter the garage. ,Positive
245,308789,Fast charger didn't work. On 220. ,Negative
246,308788,I stopped by approximately 2 weeks ago and one charge location was up and running. ,Positive
247,308787,"Great spot right off the highway, convenience store w/ pizza.  3200W to my Volt.",Positive
248,308784,Pricey,Negative
249,308782,Here for Drive Electric Week; EVSE tested and working!!  Thank you Stephanie!!,Positive
250,308780,Hotel is somewhat accommodating if you need an emergency charge. ,Positive
251,308779,Pulled in with 48 miles left in the battery. Seeing the charging rate climb past 350 mi/hr on station 2B. Tesla GPS guided me here just fine. :-),Positive
252,308775,"Checked in with customer service, they raised the garage door to the outlet.",Positive
253,308774,Waiting for Ford fusion. Ask him plug me in when he done. ,Positive
254,308767,"The map shows this in the wrong location. It's on the south side of the building, not the east side.",Negative
255,308765,Good DC fast charge. ,Positive
256,308759,385km/h  ,Positive
257,308748,Good DC fast charge. Max current is limited to 106 amps. ,Positive
258,308746,"Very friendly staff! If you aren't staying there, they might still be able to accommodate you, especially during the morning/day. Give them a call.",Positive
259,308744,worked well. you need a Greenlots account.,Positive
260,308740,"Fuji ChaDeMo asking to close the charger door, it is not working. SemaConnect stations are working",Negative
261,308733,Plan on being here a while so plug-in if you need it…,Positive
262,308731,"Seems to be slightly slower than other level 3, but not terrible.  Can't say that I've truly timed it.  Would be better if there were a coffee shop or something nearby.",Negative
263,308730,Good DC fast charge. This station is limited to 106 amps. ,Positive
264,308729,Topping off on the way to Columbus,Positive
265,308725,"Charged last night.  One of the QC is down. The other one was giving a connection error at first. But after replugging, it charged my 2014 LEAF.",Negative
266,308723,The whole foods in another city has a evse station in front of a handicapped spot too. However they have a sign which says parking for EV car charging or handicapped people. I've seen EV cars get tickets for charging while parked in non EV parking spots. ,Positive
267,308719,On our way to the NDEW event in Annapolis. Quick stop for a quick charge and breakfast at IHOP :-),Positive
268,308718,"They've been having error codes on the QC. I pulled 50% more charge in my LEAF in about 20 minutes, then it crapped out.",Negative
269,308717,50 mi/hr charging. Charged yesterday on the one across the parking lot but only got 60 amp and 40 mi/hr. Breakfast at Epic while we waited. ,Positive
270,308714,Expensive @ $2/hr. Please submit feedback to MGE. Charger located on extreme left of space with short cord almost not able to reach right rear for charger port on i3. Backing into this space for any vehicle without parking assistant or rear view camera could be tough.,Negative
271,308712,Nice Eaton supercharger...,Positive
272,308711,"Chargers are on the first level, to the right as you enter the garage.",Positive
273,308710,all 3 in use. quick complete in 10 min,Negative
274,308706,Chargers on first floor to right when you pull in garage.,Positive
275,308705,Got a full charge to get back to CT.  Thanks!,Positive
276,308701,Please break early for bikers! ,Positive
277,308686,"2 ports, only 1 working near stair, and that one only charges at 18amps giving about 10 mi per hr, not good enough for me.",Negative
278,308680,Still only one charger working. ,Negative
279,308679,"Screen still not working but per previous user the unit is still operational. However it took me a few times to get it going because I really never paid attention to the process and committed to memory. Simply tap your card until the blue light flashes then, for CHAdeMO, push the upper right-hand button three times and blue light should go solid and begin charging. ",Negative
280,308678,Completely open and appear operational. Wish I had a Tesla to charge. ,Positive
281,308673,Although this station states it's six dollars a charge they will take $20 from your credit card and instead of giving you 60 minutes they give you 51 minutes what a shame!!!!,Negative
282,308672,6 bucks for a charge.... ,Negative
283,308666,Beware,Negative
284,308664,Station is down,Negative
285,308662,"There are no Level 3 chargers in the United States. Level 3 chargers are only installed in Europe. The normal 240V EV chargers are based on the SAE J1772 AC Level 3 standard. There's a SAE J1772 AC Level 3 standard but it's a 240V, 3 phase standard that has not been adopted by any auto manufacturer in the United States. The CCS chargers common at many charging stations are based on the SAE J1772 DC Level 2 standard. CHAdeMO chargers are not based on the SAE J1772 standard and therefore the level designations do not apply.",Negative
286,308661,"Screen still isn't working, but I had no problem starting a session with the card. ",Negative
287,308660,"There are no Level 3 chargers in the United States. Level 3 chargers are only installed in Europe. The normal 240V EV chargers are based on the SAE J1772 AC Level 2 standard. There is a SAE J1772 AC Level 3 standard but it's a 240V, 3 phase standard that has not been adopted by any auto manufacturer in the United States. The CCS chargers common at many charging stations are based on the SAE J1772 DC Level 2 standard. CHAdeMO chargers are not based on the SAE J1772 standard and therefore the level designations do not apply.",Negative
288,308646,Right sided charger is not working. Will not charge. Wrench showing on its display. ,Negative
289,308645,The left sided charger is not working. Wrench showing on its display and won't charge ,Negative
290,308638,I don't understand. Why the 30-minute limit charging? What if the car needs 60 minutes to fully charge? ,Negative
291,308635,L3 right touchscreen not responding. What is it about these Blink touch screens? And what is that tar that drips down from the TV?,Negative
292,308622,2nd L2 works great. All gates are up at 1 am Sunday. 4 L2s are near Washington gate or use Mill gate and go to the bottom.,Positive
293,308619,They moved it away! Where is it now?!?!,Negative
294,308612,Could not charge. Station is down. Nothing showing up on the screen. ,Negative
295,308607,plug works!,Positive
296,308605,"Yes, sounds like a very fitting sign to put up at this location! -- checkin created before location officially marked open",Positive
297,308600,"Blue Nissan Leaf without plates. If you are handicapped I apologize and recommend you get a plackard or Handicapped plates. How do you park in handicapped spots and not get ticketed? Your note is strange being that you were the first one to remove the charge cord from my Spark! Then later the nasty ""WTF"" note left by the original offender? I appreciate the paper comment better than damage to my car Kudos on that note bro. Next time call me, my  cell phone number is clearly listed on my dash board",Negative
298,308598,This station is run by the OpConnect Electric Vehicle Charging System. First time I used them and the charging worked but the system was slightly confusing as it never set me a receipt but attempted to bill me much more than the cost to charge for as long as I had. ,Negative
299,308594,"Came at 5:30 both chargers were taken #1 by BMW I3, #2 by orange FIAT 500e, #3 handicap unused. Returned at 8:15 with 2 miles left on my Spark EV, Parked next to handicap spaces in employee smoke area, plugged in. Came back in 1 hour to move the car to #1 or #2 spots Bimmer and 500e were still there charging. A dark blue Nissan Leaf without plates or handicapped plackard parked in the handicapped spot and unplugged my Spark!! put #3 cord back into my Spark. When I came back at 10:30 gate was open and Spark was again unplugged and a nasty note was under my windshield, (see photo). The Germans and Italians left, moved Spark to legitimate # 2 EV spot and plugged it back in, took several tries to get it going. Lot gate meanwhile locked car in for the night. Had to use elevator to get off the roof, stairs were locked.",Negative
300,308588,2 tesla hpwc and 1 j1772 ,Positive
301,308587,"worked great.. getting a bit expensive though. cost me 7 bucks to go from 4 percent to 85 percent. pretty much the same price as the aerovironment charger in Tumwater. Headed to the ocean, use this one. headed south on I5, use the av charger it's faster than this one.",Positive
302,308586,There is no charger. This is a strip mall. Phone number is disconnected.,Negative
303,308585,"L3 right side touchscreen does not respond. What is it with these PADT-designed Blink touch screens, anyway :-(?",Negative
304,308583,"Sometimes took two tries to get it to recognize a card, I tried both Chargepoint and No Charge to Charge",Negative
305,308578,343 miles per hour.,Positive
306,308577,Unable to connect to authentication server for CCS Charge. Why don't they just tear out these chargers since they're not committed to getting them to work consistently?,Negative
